checkpoint_sentences,sentence_index,retrieval_mode,recall_step,expected_word,decoded_word,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,advance_success,timed_overlap_of_selected_word,column_overlap_of_selected_word,number_of_ranked_candidates,top_5_candidates,stopped_reason,previous_active_cell_count,previous_winner_count,burst_cell_count
100,3,proximal-replay,3,",",'s,44,44,44,,6,6,45,"[{""word"": ""'s"", ""timed_overlap"": 6, ""column_overlap"": 6}, {""word"": "","", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""leafy"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""hall"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""Aunt"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,46,10,18
100,3,proximal-replay,4,splendid,face,41,41,41,,6,7,49,"[{""word"": ""face"", ""timed_overlap"": 6, ""column_overlap"": 7}, {""word"": ""away"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""so"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""It"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""order"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,28,10,27
100,4,proximal-replay,1,",",",",14,14,14,,10,10,44,"[{""word"": "","", ""timed_overlap"": 10, ""column_overlap"": 10}, {""word"": ""leafy"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""already"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""good"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""then"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,10,10,0
100,4,proximal-replay,2,the,and,54,54,54,,4,4,46,"[{""word"": ""and"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""I"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""'em"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""praised"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""have"", ""timed_overlap"": 2, ""column_overlap"": 3}]",completed,10,10,37
100,4,proximal-replay,3,doctor,Gilbert,95,95,95,,3,3,39,"[{""word"": ""Gilbert"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""be"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""poor"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""terribly"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""nice"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,46,10,54
100,4,proximal-replay,4,",",sustaining,71,71,71,,2,3,47,"[{""word"": ""sustaining"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Gilbert"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""'em"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""seemed"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""dear"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,64,10,75
100,5,proximal-replay,1,had,had,30,30,30,,7,7,48,"[{""word"": ""had"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""back"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""''"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""its"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""save"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,64,10,28
100,5,proximal-replay,2,no,no,54,54,54,,5,6,42,"[{""word"": ""no"", ""timed_overlap"": 5, ""column_overlap"": 6}, {""word"": ""such"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""months"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""the"", ""timed_overlap"": 1, ""column_overlap"": 2}, {""word"": ""from"", ""timed_overlap"": 1, ""column_overlap"": 2}]",completed,37,10,28
100,5,proximal-replay,3,chance,chance,32,32,32,,10,10,41,"[{""word"": ""chance"", ""timed_overlap"": 10, ""column_overlap"": 10}, {""word"": ""A"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""right"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""hands"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""visitors"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,37,10,0
100,5,proximal-replay,4,after,after,12,12,12,,9,9,35,"[{""word"": ""after"", ""timed_overlap"": 9, ""column_overlap"": 9}, {""word"": ""grass"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Nan"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""look"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""companioned"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,10,10,10
100,6,proximal-replay,1,old,old,26,26,26,,9,9,37,"[{""word"": ""old"", ""timed_overlap"": 9, ""column_overlap"": 9}, {""word"": ""humanity"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""down"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""marriage"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""led"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,37,10,10
100,6,proximal-replay,2,pictures,pictures,54,54,54,,3,4,48,"[{""word"": ""pictures"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""n't"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""up"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""will"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""exactly"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,19,10,37
100,6,proximal-replay,3,",",",",43,43,43,,6,6,42,"[{""word"": "","", ""timed_overlap"": 6, ""column_overlap"": 6}, {""word"": ""should"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""already"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""order"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""leafy"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,46,10,36
100,6,proximal-replay,4,sustaining,I,95,95,95,,2,4,54,"[{""word"": ""I"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""and"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""''"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""it"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""room"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,46,10,45
100,7,proximal-replay,1,nice,nice,26,26,26,,8,8,46,"[{""word"": ""nice"", ""timed_overlap"": 8, ""column_overlap"": 8}, {""word"": ""'"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""still"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""deny"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""take"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,28,10,19
100,7,proximal-replay,2,",",to,27,27,27,,7,8,53,"[{""word"": ""to"", ""timed_overlap"": 7, ""column_overlap"": 8}, {""word"": "","", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""eggs"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""leafy"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""He"", ""timed_overlap"": 2, ""column_overlap"": 3}]",completed,28,10,18
100,7,proximal-replay,3,I,veil,59,59,59,,2,3,40,"[{""word"": ""veil"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""her"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""teeth"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""my"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""these"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,28,10,76
100,7,proximal-replay,4,'m,of,63,63,63,,5,6,36,"[{""word"": ""of"", ""timed_overlap"": 5, ""column_overlap"": 6}, {""word"": ""but"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""woman"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""two"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""herring"", ""timed_overlap"": 1, ""column_overlap"": 2}]",completed,82,10,37
100,8,proximal-replay,1,certainly,fish,96,96,96,,2,3,55,"[{""word"": ""fish"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""about"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""splendid"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""it"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""remembering"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,46,10,72
100,8,proximal-replay,2,",",on,77,77,77,,5,6,41,"[{""word"": ""on"", ""timed_overlap"": 5, ""column_overlap"": 6}, {""word"": ""chance"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""your"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""still"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""beneath"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,82,10,27
100,8,proximal-replay,3,'',my,87,87,87,,3,3,44,"[{""word"": ""my"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""1715"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""wilt"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""that"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""take"", ""timed_overlap"": 1, ""column_overlap"": 5}]",completed,37,10,63
100,8,proximal-replay,4,said,lord,70,70,70,,3,4,41,"[{""word"": ""lord"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""have"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""snuff-box"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""wife"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""came"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,73,10,45
100,9,proximal-replay,1,you,you,81,81,81,,5,5,45,"[{""word"": ""you"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""leafy"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": "","", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""our"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""chance"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,82,10,27
100,9,proximal-replay,2,think,about,80,80,80,,3,3,48,"[{""word"": ""about"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""amused"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""?"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""think"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""wilt"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,37,10,36
100,9,proximal-replay,3,Mrs.,her,48,48,48,,7,8,44,"[{""word"": ""her"", ""timed_overlap"": 7, ""column_overlap"": 8}, {""word"": ""silver"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""treat"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""would"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""Here"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,46,10,19
100,9,proximal-replay,4,Elliott,and,48,48,48,,7,7,41,"[{""word"": ""and"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""let"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""leafy"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""Emmy"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""to"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,28,10,29
100,10,proximal-replay,1,would,would,54,54,54,,5,5,44,"[{""word"": ""would"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""was"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""that"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""value"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""o"", ""timed_overlap"": 1, ""column_overlap"": 5}]",completed,37,10,18
100,10,proximal-replay,2,ruin,ruin,20,20,20,,8,8,63,"[{""word"": ""ruin"", ""timed_overlap"": 8, ""column_overlap"": 8}, {""word"": ""Arts"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""now"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""youth"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""bearing"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,28,10,19
100,10,proximal-replay,3,you,you,30,30,30,,7,7,35,"[{""word"": ""you"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""drew"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""two"", ""timed_overlap"": 1, ""column_overlap"": 2}, {""word"": ""told"", ""timed_overlap"": 1, ""column_overlap"": 2}, {""word"": ""She"", ""timed_overlap"": 1, ""column_overlap"": 2}]",completed,28,10,0
100,10,proximal-replay,4,to,to,13,13,13,,7,7,47,"[{""word"": ""to"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""Marsch"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""know"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""eggs"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""agreement"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,10,10,30
100,11,proximal-replay,1,dared,need,89,89,89,,4,4,41,"[{""word"": ""need"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""dared"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""wind"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""any"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""might"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,46,10,45
100,11,proximal-replay,2,face,do,49,49,49,,10,10,48,"[{""word"": ""do"", ""timed_overlap"": 10, ""column_overlap"": 10}, {""word"": ""remorsefully"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""For"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""are"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""minister"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,55,10,0
100,11,proximal-replay,3,Bill,for,26,26,26,,8,8,45,"[{""word"": ""for"", ""timed_overlap"": 8, ""column_overlap"": 8}, {""word"": ""bearing"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""but"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""let"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""long"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,10,10,18
100,11,proximal-replay,4,",",the,59,59,59,,6,6,37,"[{""word"": ""the"", ""timed_overlap"": 6, ""column_overlap"": 6}, {""word"": ""world"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""Puck"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""So"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""back"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,28,10,36
100,12,proximal-replay,1,do,do,20,20,20,,10,10,48,"[{""word"": ""do"", ""timed_overlap"": 10, ""column_overlap"": 10}, {""word"": ""remorsefully"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""For"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""minister"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""good"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,19,10,0
100,12,proximal-replay,2,but,but,23,23,23,,8,8,47,"[{""word"": ""but"", ""timed_overlap"": 8, ""column_overlap"": 8}, {""word"": ""long"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""brave"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""fell"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""answered"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,10,10,19
100,12,proximal-replay,3,run,run,54,54,54,,3,3,35,"[{""word"": ""run"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""challenge"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""in"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""treat"", ""timed_overlap"": 1, ""column_overlap"": 2}, {""word"": ""royal"", ""timed_overlap"": 1, ""column_overlap"": 2}]",completed,28,10,38
100,12,proximal-replay,4,away,away,28,28,28,,8,8,41,"[{""word"": ""away"", ""timed_overlap"": 8, ""column_overlap"": 8}, {""word"": ""face"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""You"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""tracks"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""do"", ""timed_overlap"": 1, ""column_overlap"": 2}]",completed,46,10,10
100,13,proximal-replay,1,close,some,47,47,47,,4,5,42,"[{""word"": ""some"", ""timed_overlap"": 4, ""column_overlap"": 5}, {""word"": ""awful"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""she"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""deal"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""gave"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,46,10,18
100,13,proximal-replay,2,",",blades,24,24,24,,8,8,44,"[{""word"": ""blades"", ""timed_overlap"": 8, ""column_overlap"": 8}, {""word"": ""may"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""'ve"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""from"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""made"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,28,10,19
100,13,proximal-replay,3,almost,of,17,17,17,,9,9,43,"[{""word"": ""of"", ""timed_overlap"": 9, ""column_overlap"": 9}, {""word"": ""wind"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""if"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""long"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""one"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,28,10,9
100,13,proximal-replay,4,like,grass,34,34,34,,8,8,46,"[{""word"": ""grass"", ""timed_overlap"": 8, ""column_overlap"": 8}, {""word"": ""bringing"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""after"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""common"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""'s"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,19,10,18
100,14,proximal-replay,1,dragging,dragging,26,26,26,,7,7,52,"[{""word"": ""dragging"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""beauty"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""grown"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""certainly"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""fish"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,28,10,30
100,14,proximal-replay,2,so,so,31,31,31,,7,7,50,"[{""word"": ""so"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""veil"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""The"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""petals"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""branch"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,37,10,29
100,14,proximal-replay,3,much,much,22,22,22,,7,8,39,"[{""word"": ""much"", ""timed_overlap"": 7, ""column_overlap"": 8}, {""word"": ""--"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""as"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""To"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""hearth"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,37,10,29
100,14,proximal-replay,4,silver,silver,32,32,32,,8,8,51,"[{""word"": ""silver"", ""timed_overlap"": 8, ""column_overlap"": 8}, {""word"": ""her"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""spoke"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""take"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""miles"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,37,10,9
100,15,proximal-replay,1,with,with,59,59,59,,4,4,41,"[{""word"": ""with"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""bestrewn"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Well"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Dacca"", ""timed_overlap"": 1, ""column_overlap"": 5}, {""word"": ""Suddenly"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,82,10,9
100,15,proximal-replay,2,alarm,alarm,25,25,25,,5,5,43,"[{""word"": ""alarm"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""bronze-colored"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""is"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""plenty"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""appeared"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,19,10,19
100,15,proximal-replay,3,and,and,16,16,16,,6,6,37,"[{""word"": ""and"", ""timed_overlap"": 6, ""column_overlap"": 6}, {""word"": ""let"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""villagers"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""pay"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""but"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,28,10,39
100,15,proximal-replay,4,jealousy,blades,87,87,87,,2,3,56,"[{""word"": ""blades"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""jealousy"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""look"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""caught"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""visitors"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,46,10,72
