horizon,input_index,input_timestamp,target_timestamp,target,prediction,persistence_prediction,daily_seasonal_prediction
48,510,2020-01-04 13:10:00,2020-01-04 21:10:00,2.22,6.98091476091476,4.87,7.81
96,510,2020-01-04 13:10:00,2020-01-05 05:10:00,2.05,6.98091476091476,4.87,3.67
12,511,2020-01-04 13:20:00,2020-01-04 15:20:00,4.3,6.98091476091476,4.99,6.46
24,511,2020-01-04 13:20:00,2020-01-04 17:20:00,5.0,6.98091476091476,4.99,6.55
48,511,2020-01-04 13:20:00,2020-01-04 21:20:00,2.24,6.98091476091476,4.99,7.82
96,511,2020-01-04 13:20:00,2020-01-05 05:20:00,2.07,6.98091476091476,4.99,3.67
12,512,2020-01-04 13:30:00,2020-01-04 15:30:00,4.37,6.98091476091476,5.12,6.54
24,512,2020-01-04 13:30:00,2020-01-04 17:30:00,5.11,6.98091476091476,5.12,6.48
48,512,2020-01-04 13:30:00,2020-01-04 21:30:00,2.21,6.98091476091476,5.12,7.89
96,512,2020-01-04 13:30:00,2020-01-05 05:30:00,2.09,6.98091476091476,5.12,3.67
12,513,2020-01-04 13:40:00,2020-01-04 15:40:00,4.44,6.98091476091476,5.21,6.56
24,513,2020-01-04 13:40:00,2020-01-04 17:40:00,5.26,6.98091476091476,5.21,6.47
48,513,2020-01-04 13:40:00,2020-01-04 21:40:00,2.22,6.98091476091476,5.21,7.88
96,513,2020-01-04 13:40:00,2020-01-05 05:40:00,2.06,6.98091476091476,5.21,3.67
12,514,2020-01-04 13:50:00,2020-01-04 15:50:00,4.53,6.98091476091476,5.23,6.62
24,514,2020-01-04 13:50:00,2020-01-04 17:50:00,5.34,6.98091476091476,5.23,6.49
48,514,2020-01-04 13:50:00,2020-01-04 21:50:00,2.27,6.98091476091476,5.23,7.9
96,514,2020-01-04 13:50:00,2020-01-05 05:50:00,2.02,6.98091476091476,5.23,3.67
12,515,2020-01-04 14:00:00,2020-01-04 16:00:00,4.6,6.98091476091476,5.31,6.65
24,515,2020-01-04 14:00:00,2020-01-04 18:00:00,5.21,6.98091476091476,5.31,6.54
48,515,2020-01-04 14:00:00,2020-01-04 22:00:00,2.22,6.98091476091476,5.31,7.97
96,515,2020-01-04 14:00:00,2020-01-05 06:00:00,2.1,6.98091476091476,5.31,3.64
12,516,2020-01-04 14:10:00,2020-01-04 16:10:00,4.7,6.98091476091476,5.34,6.59
24,516,2020-01-04 14:10:00,2020-01-04 18:10:00,5.03,6.98091476091476,5.34,6.55
48,516,2020-01-04 14:10:00,2020-01-04 22:10:00,2.16,6.98091476091476,5.34,7.95
96,516,2020-01-04 14:10:00,2020-01-05 06:10:00,2.15,6.98091476091476,5.34,3.58
12,517,2020-01-04 14:20:00,2020-01-04 16:20:00,4.83,6.98091476091476,5.4,6.54
24,517,2020-01-04 14:20:00,2020-01-04 18:20:00,4.5,6.98091476091476,5.4,6.48
48,517,2020-01-04 14:20:00,2020-01-04 22:20:00,2.1,6.98091476091476,5.4,7.72
96,517,2020-01-04 14:20:00,2020-01-05 06:20:00,2.18,6.98091476091476,5.4,3.49
12,518,2020-01-04 14:30:00,2020-01-04 16:30:00,4.97,6.98091476091476,5.31,6.49
24,518,2020-01-04 14:30:00,2020-01-04 18:30:00,3.35,6.98091476091476,5.31,6.47
48,518,2020-01-04 14:30:00,2020-01-04 22:30:00,1.99,6.98091476091476,5.31,7.54
96,518,2020-01-04 14:30:00,2020-01-05 06:30:00,2.17,6.98091476091476,5.31,3.41
12,519,2020-01-04 14:40:00,2020-01-04 16:40:00,4.87,6.98091476091476,5.07,6.47
24,519,2020-01-04 14:40:00,2020-01-04 18:40:00,2.55,6.98091476091476,5.07,6.55
48,519,2020-01-04 14:40:00,2020-01-04 22:40:00,1.9,6.98091476091476,5.07,7.53
96,519,2020-01-04 14:40:00,2020-01-05 06:40:00,2.15,6.98091476091476,5.07,3.4
