sentence_index,cycle,active_column,delta_t_abs,provenance_class,evidence
9,5,81,0.2161077202690972,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,5,5,0.06111111111110151,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,5,25,0.21595147026909722,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,5,23,0.4380101182725693,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,7,29,0.21625542534722209,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,8,52,0.2837445746527778,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,8,58,0.06152235243055573,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
10,3,1,0.2718109809027778,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
10,7,49,0.21610772026909714,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
10,9,25,0.2718109809027778,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
11,6,48,0.061522352430555705,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
11,6,65,0.38261813693576374,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
12,3,3,0.3949999999999916,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
12,3,1,0.17263346354166667,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
12,3,74,0.10370388454861101,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
12,3,5,0.11707790798611117,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
12,3,81,0.27150702582465264,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
12,3,52,0.4376536729600693,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
12,7,90,0.2281890190972223,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
12,7,58,0.32736653645833313,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
13,1,16,0.17263346354166675,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
13,8,80,0.1045034450954862,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
13,8,61,0.17277777777776937,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
13,8,45,0.06216322157118037,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
13,8,26,0.2716632758246527,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
13,8,43,0.21578789605034726,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
13,8,63,0.4370372178819444,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
15,4,60,0.2727777777777779,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
15,4,80,0.21610772026909708,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
15,5,81,0.17263346354166664,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
15,9,81,0.2718109809027776,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,1,14,0.10611111111111121,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,1,18,0.06045667860243065,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,1,20,0.21625542534722225,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,1,81,0.06045667860241988,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,2,68,0.09714029947916664,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,3,50,0.04930189344618033,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,3,80,0.10514431423611109,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,8,18,0.2837445746527778,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,8,31,0.1172256130642362,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,8,77,0.17385538736979173,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,8,90,0.3401241048176976,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,8,14,0.1039223904079859,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,8,6,0.1592594401041666,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
16,8,58,0.26989203559027786,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
17,2,76,0.10514431423611093,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
17,4,39,0.050749647352430594,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
17,6,62,0.22818901909722222,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
17,6,43,0.22849297417534725,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
17,6,84,0.22833333333332492,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
17,8,62,0.28374457465276703,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
17,8,18,0.3829220920138887,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
17,9,57,0.04888888888889614,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
18,1,67,0.16166666666666676,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
18,1,30,0.2162554253472222,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
18,3,1,0.5064172363281143,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
18,3,60,0.05055555555555566,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
18,3,53,0.10514431423611109,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
18,3,77,0.11722561306422524,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
18,3,20,0.21610772026909708,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
18,5,79,0.16069986979166667,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
18,6,80,0.2051897515190973,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
18,7,22,0.04958875868055557,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,1,26,0.0616700575086806,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,1,20,0.16055216471354156,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,4,13,0.4499999999999904,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,4,50,0.061670057508680654,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,4,56,0.38261813693576374,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,4,1,0.4384776475694443,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,6,27,0.3829220920138887,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,8,87,0.2156145562065973,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,8,9,0.21561455620659725,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,8,61,0.16055216471354156,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,8,13,0.10444444444445167,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
19,8,3,0.4950000000000001,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,2,67,0.05055555555555566,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,3,1,0.3969845920138888,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,3,19,0.06277777777777171,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,6,13,0.04222222222222605,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,8,18,0.05055555555555566,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,8,80,0.1594779459635415,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,8,14,0.10347317165798608,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,8,57,0.10370388454861124,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,8,81,0.4400000000000013,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,9,32,0.11738186306423612,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,9,96,0.28404852973089223,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
20,9,59,0.26603217230902776,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
